stationbus,stationA,stationB,traveltime,id,stoptime
南港展覽館-頂埔,捷運板橋站,捷運府中站,67,17,28
南港展覽館-頂埔,捷運府中站,捷運亞東醫院站,102,18,28
南港展覽館-頂埔,捷運亞東醫院站,捷運海山站,142,19,26
南港展覽館-頂埔,捷運海山站,捷運土城站,106,20,26
南港展覽館-頂埔,捷運土城站,捷運永寧站,95,21,26
南港展覽館-頂埔,捷運永寧站,捷運頂埔站,180,22,28
南港展覽館-亞東醫院,捷運南港展覽館站,捷運南港站,112,1,0
南港展覽館-亞東醫院,捷運南港站,捷運昆陽站,109,2,24
南港展覽館-亞東醫院,捷運昆陽站,捷運後山埤站,107,3,25
南港展覽館-亞東醫院,捷運後山埤站,捷運永春站,76,4,29
南港展覽館-亞東醫院,捷運永春站,捷運市政府站,87,5,25
南港展覽館-亞東醫院,捷運市政府站,捷運國父紀念館站,77,6,28
南港展覽館-亞東醫院,捷運國父紀念館站,捷運忠孝敦化站,71,7,28
南港展覽館-亞東醫院,捷運忠孝敦化站,捷運忠孝復興站,65,8,28
南港展覽館-亞東醫院,捷運忠孝復興站,捷運忠孝新生站,90,9,40
南港展覽館-亞東醫院,捷運忠孝新生站,捷運善導寺站,81,10,40
南港展覽館-亞東醫院,捷運善導寺站,捷運台北車站,66,11,25
南港展覽館-亞東醫院,捷運台北車站,捷運西門站,120,12,42
南港展覽館-亞東醫院,捷運西門站,捷運龍山寺站,110,13,35
南港展覽館-亞東醫院,捷運龍山寺站,捷運江子翠站,192,14,29
南港展覽館-亞東醫院,捷運江子翠站,捷運新埔站,77,15,28
南港展覽館-亞東醫院,捷運新埔站,捷運板橋站,107,16,28
南港展覽館-亞東醫院,捷運板橋站,捷運府中站,67,17,28
南港展覽館-亞東醫院,捷運府中站,捷運亞東醫院站,102,18,28
動物園-南港展覽館,捷運南港展覽館站,捷運南港軟體園區站,78,1,0
動物園-南港展覽館,捷運南港軟體園區站,捷運東湖站,85,2,25
動物園-南港展覽館,捷運東湖站,捷運葫洲站,78,3,25
動物園-南港展覽館,捷運葫洲站,捷運大湖公園站,121,4,25
動物園-南港展覽館,捷運大湖公園站,捷運內湖站,71,5,25
動物園-南港展覽館,捷運內湖站,捷運文德站,78,6,25
動物園-南港展覽館,捷運文德站,捷運港墘站,72,7,25
動物園-南港展覽館,捷運港墘站,捷運西湖站,65,8,25
動物園-南港展覽館,捷運西湖站,捷運劍南路站,110,9,25
動物園-南港展覽館,捷運劍南路站,捷運大直站,103,10,25
動物園-南港展覽館,捷運大直站,捷運松山機場站,172,11,25
動物園-南港展覽館,捷運松山機場站,捷運中山國中站,142,12,25
動物園-南港展覽館,捷運中山國中站,捷運南京復興站,66,13,25
動物園-南港展覽館,捷運南京復興站,捷運忠孝復興站,86,14,30
